Title,Artist,Album
Why Don't You Believe Me,Joni James,Dedicated to You!
How Important Can It Be,Joni James,Dedicated to You!
My Little Corner of the World,Anita Bryant,The Very Best Of
You Are My Love,Joni James,Platinum & Gold: The Mgm Years
Determination,The Miracles,The 35th Anniversary Collection
Robot Man,Connie Francis,Die Liebe Ist Ein Seltsames Spiel
Someone Else's Boy,Connie Francis,Connie Rocks
Come home soon,The Intruders,
The Cattle Call,Eddy Arnold,Our Last Goodbye
Country Girl,Jeannie C. Riley,Good Old Country
Heaven Sent,The Contours,Under Love's Control
Barefootin',The Marvelettes,The Marvelettes
There's a Party Goin' On,Jody Miller,Anthology
Optimistic,Skeeter Davis,The Essential Skeeter Davis
Gonna Get Along Without Ya Now,Skeeter Davis,Highlight On Lady Rock
Something,Martha & The Vandellas,Motown Meets The Beatles
Something,Martha Reeves & The Vandellas,Motown Meets The Beatles
Reunited,Dion,Grove
piu piu,Lulu,
Grove Stepper,Dion,Grove
Haiku,Dion,Grove
Woman's World,Cher,Closer to the Truth
"Perhaps, The Joy Of Giving",The Tokens,It's A Happening World (Expanded Edition)
December 1963,The 4 Seasons,25 Original Nr 1 Hits Volume 4 (The Hits Of 1969 To 1991)
"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",Jose Feliciano,
bubble,Lulu,
Take It Like a Man,Cher,Closer to the Truth
Burnin' hot,L.T.D.,Love magic
Keep Me in Mind,Lynn Anderson,16 Biggest Hits
I've Been Everywhere,Lynn Anderson,The Best Of The Johnny Cash TV Show
Show Her,Ronnie Milsap,The Essential Ronnie Milsap
Hurt,Juice Newton,Anthology
How Do I Turn You On,Ronnie Milsap,The Essential Ronnie Milsap
Where Do the Nights Go,Ronnie Milsap,The Essential Ronnie Milsap
The Best Year Of My Life,Eddie Rabbitt,Number One Hits
I Never Promised You a Rose Garden,Lynn Anderson,Rosey Lynn Anderson - [The Dave Cash Collection]
(Without You) What Do I Do With Me,Tanya Tucker,20 Greatest Hits
Entweder,Prism,Entweder - Single
Keep on Trying,Poco,Head Over Heels
My Arms Stay Open All Night,Tanya Tucker,20 Greatest Hits
Hot Together,The Pointer Sisters,Hot Together
You Never Gave Up On Me,Crystal Gayle,Crystal Gayle: The Hits
turnmeup,Starz,TURNMEUP - Single
Kikoenai Uta,The Babys,
Pilly,Prism,Pilly - Single
Shine,Mr. Big,Greatest Hits
Don't Stop Believing,Journey,Greatest Hits
It's a Long Road,Dan Hill,It's a Long Road
They Only Come Out at Night,Peter Brown,Snap (Bonus Track Version)
AIORA,Lobo,
Free To Be...You And Me (Reprise) - Outro,The New Seekers,
Slow Burn,T.G. Sheppard,All Time Greatest Hits
Timebomb,Kylie Minogue,Timebomb
Wait,Dino,Wait
Tension,Kylie Minogue,Tension (Deluxe)
Say Something,Kylie Minogue,Magic
DOLL,Scandal,Scandal
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Sting,
ICARUS,Dino,"CASTAWAY DIVA (Original Soundtrack), Pt. 3 - Single"
Oakland Stroke,Tony Toni Tone,The Revival
Shoujo S,Scandal,Shoujo S
Promiscuous,Cameo,Machismo
LOVE SURVIVE,Scandal,Scandal
Sprung On It,After 7,Reflections
Dirty Dancing,New Kids On The Block,The Block
I Want to Love You Down,Keith Sweat,Keep It Comin'
ゴーイング my 上へ,Surface,Surface
White And Nerdy,"""Weird Al"" Yankovic",Alpocalypse HD
Big Girl Now,New Kids On The Block,The Block
Heartbreak Hotel,Tiffany,Heartbreak Hotel
それじゃあバイバイ,Surface,Surface
夢の続きへ,Surface,Last Attraction
Space Junk,Wang Chung,Everybody Wang Chung Tonight... Wang Chung's Greatest Hits
Two Different Views,The Fixx,Ultimate Collection
What Could Have Been (from the series Arcane League of Legends),Sting,
I Just Wanna Dance,Tiffany,I Just Wanna Dance - The 1st Mini Album
Love etc.,Pet Shop Boys,Yes
Murdergram Deux (feat. Eminem),LL Cool J,
Rock Me Tonight (For Old Time's Sake),Freddie Jackson,Ballads
Big Girl Now (featuring Lady Gaga),New Kids On The Block,
Something To Believe In,The Bangles,Everything
St. Elmo's Fire,John Parr,Letter To America
You're Nothing Without Me,Belinda Carlisle,Live Your Life Be Free
Lay Down Your Arms,Belinda Carlisle,Real
君と彼と僕と彼女と,Breathe,Tomorrows
Flashdance - What a Feeling (Radio Edit),Irene Cara,
Bato sa buhangin,Cinderella,Cinderella
Sun Street,Katrina And The Waves,The Best of Katrina and the Waves
We Both Deserve Each Other's Love,Jeffrey Osborne,Greatest Hits Live!
Lift Me Up,Christina Aguilera,Bionic
IT girl,Jade,IT girl
FUFN (Fuck You For Now),Jade,FUFN (Fuck You For Now)
Vanity,Christina Aguilera,Bionic
Desnudate,Christina Aguilera,Bionic
Plastic Box,Jade,Plastic Box
Loneliness,Annie Lennox,Bare
Ghost Avenue,Eve,Ghost Avenue
Insomnia,Eve,Insomnia
Fly Like a Bird,Mariah Carey,The Emancipation of Mimi
After The Club,Hi-Five,The Return
